"Anti-miARNs","Recuento_Celular","Replicas ","Tiempo","Concentracion","Fluorescencia"
"0","0","3","1","5","108"
"0","0","4","1","5","122"
"0","0","5","1","5","88"
"0","0","6","1","5","111"
"0","0","7","1","5","75"
"0","0","8","1","5","88"
"0","0","1","2","5","180"
"0","0","2","2","5","152"
"0","0","3","2","5","205"
"0","0","4","2","5","165"
"0","0","5","2","5","103"
"0","0","6","2","5","124"
"0","0","7","2","5","98"
"0","0","8","2","5","105"
"0","0","1","3","5","90"
"0","0","2","3","5","98"
"0","0","3","3","5","92"
"0","0","4","3","5","96"
"0","0","5","3","5","70"
"0","0","6","3","5","82"
"0","0","7","3","5","63"
"0","0","8","3","5","80"
"0","0","1","4","5","81"
"0","0","2","4","5","106"
"0","0","3","4","5","74"
"0","0","4","4","5","95"
"0","0","5","4","5","78"
"0","0","6","4","5","103"
"0","0","7","4","5","85"
"0","0","8","4","5","100"
"0","0","1","5","5","110"
"0","0","2","5","5","168"
"0","0","3","5","5","96"
"0","0","4","5","5","137"
"0","0","5","5","5","129"
"0","0","6","5","5","143"
"0","0","7","5","5","169"
"0","0","8","5","5","162"
"0","0","1","6","5","181"
"0","0","2","6","5","243"
"0","0","3","6","5","153"
"0","0","4","6","5","198"
"0","0","5","6","5","216"
"0","0","6","6","5","241"
"0","0","7","6","5","292"
"0","0","8","6","5","255"
"0","0","1","7","5","289"
"0","0","2","7","5","365"
"0","0","3","7","5","202"
"0","0","4","7","5","257"
"0","0","5","7","5","320"
"0","0","6","7","5","283"
"0","0","7","7","5","389"
"0","0","8","7","5","360"
