"Anti-miARNs","Recuento_Celular","Replicas ","Tiempo","Concentracion","Fluorescencia","","","","","","","","","","","","","",""
"0","0","4","3","20","151","","","","","","","","","","","","","",""
"0","0","5","3","20","151","","","","","","","","","","","","","",""
"0","0","6","3","20","125","","","","","","","","","","","","","",""
"0","0","7","3","20","255","","","","","","","","","","","","","",""
"0","0","8","3","20","174","","","","","","","","","","","","","",""
"0","0","1","4","20","311","","","","","","","","","","","","","",""
"0","0","2","4","20","258","","","","","","","","","","","","","",""
"0","0","3","4","20","423","","","","","","","","","","","","","",""
"0","0","4","4","20","327","","","","","","","","","","","","","",""
"0","0","5","4","20","349","","","","","","","","","","","","","",""
"0","0","6","4","20","253","","","","","","","","","","","","","",""
"0","0","7","4","20","488","","","","","","","","","","","","","",""
"0","0","8","4","20","335","","","","","","","","","","","","","",""
"0","0","1","5","20","559","","","","","","","","","","","","","",""
"0","0","2","5","20","475","","","","","","","","","","","","","",""
"0","0","3","5","20","706","","","","","","","","","","","","","",""
"0","0","4","5","20","541","","","","","","","","","","","","","",""
"0","0","5","5","20","534","","","","","","","","","","","","","",""
"0","0","6","5","20","389","","","","","","","","","","","","","",""
"0","0","7","5","20","771","","","","","","","","","","","","","",""
"0","0","8","5","20","471","","","","","","","","","","","","","",""
"0","0","1","6","20","710","","","","","","","","","","","","","",""
"0","0","2","6","20","638","","","","","","","","","","","","","",""
"0","0","3","6","20","845","","","","","","","","","","","","","",""
"0","0","4","6","20","749","","","","","","","","","","","","","",""
"0","0","5","6","20","666","","","","","","","","","","","","","",""
"0","0","6","6","20","521","","","","","","","","","","","","","",""
"0","0","7","6","20","947","","","","","","","","","","","","","",""
"0","0","8","6","20","658","","","","","","","","","","","","","",""
"0","0","1","7","20","856","","","","","","","","","","","","","",""
"0","0","2","7","20","758","","","","","","","","","","","","","",""
"0","0","3","7","20","1115","","","","","","","","","","","","","",""
"0","0","4","7","20","978","","","","","","","","","","","","","",""
"0","0","5","7","20","906","","","","","","","","","","","","","",""
"0","0","6","7","20","680","","","","","","","","","","","","","",""
"0","0","7","7","20","1187","","","","","","","","","","","","","",""
"0","0","8","7","20","810","","","","","","","","","","","","","",""
"1","1","1","1","10","3597","","","","","","","","","","","","","",""
"1","1","2","1","10","5053","","","","","","","","","","","","","",""
"1","1","3","1","10","2950","","","","","","","","","","","","","",""
"1","1","4","1","10","5382","","","","","","","","","","","","","",""
"1","1","5","1","10","3771","","","","","","","","","","","","","",""
"1","1","6","1","10","5154","","","","","","","","","","","","","",""
"1","1","7","1","10","2796","","","","","","","","","","","","","",""
"1","1","8","1","10","6032","","","","","","","","","","","","","",""
"1","1","1","2","10","4213","","","","","","","","","","","","","",""
"1","1","2","2","10","5604","","","","","","","","","","","","","",""
"1","1","3","2","10","3342","","","","","","","","","","","","","",""
"1","1","4","2","10","5636","","","","","","","","","","","","","",""
"1","1","5","2","10","4323","","","","","","","","","","","","","",""
"1","1","6","2","10","5815","","","","","","","","","","","","","",""
"1","1","7","2","10","3352","","","","","","","","","","","","","",""
"1","1","8","2","10","6388","","","","","","","","","","","","","",""
"1","1","1","3","10","5489","","","","","","","","","","","","","",""
"1","1","2","3","10","6941","","","","","","","","","","","","","",""
"1","1","3","3","10","4234","","","","","","","","","","","","","",""
"1","1","4","3","10","6828","","","","","","","","","","","","","",""
"1","1","5","3","10","5659","","","","","","","","","","","","","",""
"1","1","6","3","10","7232","","","","","","","","","","","","","",""
"1","1","7","3","10","4239","","","","","","","","","","","","","",""
"1","1","8","3","10","7689","","","","","","","","","","","","","",""
"1","1","1","4","10","5941","","","","","","","","","","","","","",""
"1","1","2","4","10","7239","","","","","","","","","","","","","",""
"1","1","3","4","10","4373","","","","","","","","","","","","","",""
"1","1","4","4","10","7093","","","","","","","","","","","","","",""
"1","1","5","4","10","5851","","","","","","","","","","","","","",""
"1","1","6","4","10","7239","","","","","","","","","","","","","",""
"1","1","7","4","10","4515","","","","","","","","","","","","","",""
"1","1","8","4","10","7625","","","","","","","","","","","","","",""
"1","1","1","5","10","5921","","","","","","","","","","","","","",""
"1","1","2","5","10","7129","","","","","","","","","","","","","",""
"1","1","3","5","10","4329","","","","","","","","","","","","","",""
"1","1","4","5","10","6650","","","","","","","","","","","","","",""
"1","1","5","5","10","5830","","","","","","","","","","","","","",""
"1","1","6","5","10","6919","","","","","","","","","","","","","",""
"1","1","7","5","10","4456","","","","","","","","","","","","","",""
"1","1","8","5","10","7067","","","","","","","","","","","","","",""
"1","1","1","6","10","5986","","","","","","","","","","","","","",""
"1","1","2","6","10","6899","","","","","","","","","","","","","",""
"1","1","3","6","10","4254","","","","","","","","","","","","","",""
"1","1","4","6","10","6479","","","","","","","","","","","","","",""
"1","1","5","6","10","5877","","","","","","","","","","","","","",""
"1","1","6","6","10","7147","","","","","","","","","","","","","",""
"1","1","7","6","10","4550","","","","","","","","","","","","","",""
"1","1","8","6","10","7414","","","","","","","","","","","","","",""
"1","1","1","7","10","5602","","","","","","","","","","","","","",""
"1","1","2","7","10","6466","","","","","","","","","","","","","",""
"1","1","3","7","10","4062","","","","","","","","","","","","","",""
"1","1","4","7","10","6367","","","","","","","","","","","","","",""
"1","1","5","7","10","5670","","","","","","","","","","","","","",""
"1","1","6","7","10","6774","","","","","","","","","","","","","",""
"1","1","7","7","10","4461","","","","","","","","","","","","","",""
"1","1","8","7","10","7405","","","","","","","","","","","","","",""
"1","0","1","1","10","17","","","","","","","","","","","","","",""
"1","0","2","1","10","46","","","","","","","","","","","","","",""
"1","0","3","1","10","88","","","","","","","","","","","","","",""
"1","0","4","1","10","102","","","","","","","","","","","","","",""
"1","0","5","1","10","15","","","","","","","","","","","","","",""
"1","0","6","1","10","56","","","","","","","","","","","","","",""
"1","0","7","1","10","34","","","","","","","","","","","","","",""
"1","0","8","1","10","110","","","","","","","","","","","","","",""
"1","0","1","2","10","24","","","","","","","","","","","","","",""
"1","0","2","2","10","76","","","","","","","","","","","","","",""
"1","0","3","2","10","142","","","","","","","","","","","","","",""
"1","0","4","2","10","167","","","","","","","","","","","","","",""
"1","0","5","2","10","32","","","","","","","","","","","","","",""
"1","0","6","2","10","63","","","","","","","","","","","","","",""
"1","0","7","2","10","42","","","","","","","","","","","","","",""
"1","0","8","2","10","147","","","","","","","","","","","","","",""
"1","0","1","3","10","65","","","","","","","","","","","","","",""
"1","0","2","3","10","118","","","","","","","","","","","","","",""
"1","0","3","3","10","269","","","","","","","","","","","","","",""
"1","0","4","3","10","247","","","","","","","","","","","","","",""
"1","0","5","3","10","100","","","","","","","","","","","","","",""
"1","0","6","3","10","111","","","","","","","","","","","","","",""
"1","0","7","3","10","120","","","","","","","","","","","","","",""
"1","0","8","3","10","210","","","","","","","","","","","","","",""
"1","0","1","4","10","170","","","","","","","","","","","","","",""
"1","0","2","4","10","165","","","","","","","","","","","","","",""
"1","0","3","4","10","442","","","","","","","","","","","","","",""
"1","0","4","4","10","270","","","","","","","","","","","","","",""
"1","0","5","4","10","228","","","","","","","","","","","","","",""
"1","0","6","4","10","192","","","","","","","","","","","","","",""
"1","0","7","4","10","270","","","","","","","","","","","","","",""
"1","0","8","4","10","289","","","","","","","","","","","","","",""
"1","0","1","5","10","321","","","","","","","","","","","","","",""
"1","0","2","5","10","264","","","","","","","","","","","","","",""
"1","0","3","5","10","616","","","","","","","","","","","","","",""
"1","0","4","5","10","384","","","","","","","","","","","","","",""
"1","0","5","5","10","400","","","","","","","","","","","","","",""
"1","0","6","5","10","323","","","","","","","","","","","","","",""
"1","0","7","5","10","457","","","","","","","","","","","","","",""
"1","0","8","5","10","382","","","","","","","","","","","","","",""
"1","0","1","6","10","493","","","","","","","","","","","","","",""
"1","0","2","6","10","418","","","","","","","","","","","","","",""
"1","0","3","6","10","819","","","","","","","","","","","","","",""
"1","0","4","6","10","553","","","","","","","","","","","","","",""
"1","0","5","6","10","594","","","","","","","","","","","","","",""
"1","0","6","6","10","511","","","","","","","","","","","","","",""
"1","0","7","6","10","729","","","","","","","","","","","","","",""
"1","0","8","6","10","545","","","","","","","","","","","","","",""
"1","0","1","7","10","730","","","","","","","","","","","","","",""
"1","0","2","7","10","634","","","","","","","","","","","","","",""
"1","0","3","7","10","992","","","","","","","","","","","","","",""
"1","0","4","7","10","719","","","","","","","","","","","","","",""
"1","0","5","7","10","831","","","","","","","","","","","","","",""
"1","0","6","7","10","731","","","","","","","","","","","","","",""
"1","0","7","7","10","885","","","","","","","","","","","","","",""
"1","0","8","7","10","744","","","","","","","","","","","","","",""
"0","1","1","1","10","4385","","","","","","","","","","","","","",""
"0","1","2","1","10","5244","","","","","","","","","","","","","",""
"0","1","3","1","10","3664","","","","","","","","","","","","","",""
"0","1","4","1","10","5289","","","","","","","","","","","","","",""
"0","1","5","1","10","4033","","","","","","","","","","","","","",""
"0","1","6","1","10","4562","","","","","","","","","","","","","",""
"0","1","7","1","10","3752","","","","","","","","","","","","","",""
"0","1","8","1","10","5158","","","","","","","","","","","","","",""
"0","1","1","2","10","5135","","","","","","","","","","","","","",""
"0","1","2","2","10","5825","","","","","","","","","","","","","",""
"0","1","3","2","10","4195","","","","","","","","","","","","","",""
"0","1","4","2","10","5687","","","","","","","","","","","","","",""
"0","1","5","2","10","4694","","","","","","","","","","","","","",""
"0","1","6","2","10","5117","","","","","","","","","","","","","",""
"0","1","7","2","10","4331","","","","","","","","","","","","","",""
"0","1","8","2","10","5647","","","","","","","","","","","","","",""
"0","1","1","3","10","6639","","","","","","","","","","","","","",""
"0","1","2","3","10","7213","","","","","","","","","","","","","",""
"0","1","3","3","10","5279","","","","","","","","","","","","","",""
"0","1","4","3","10","7031","","","","","","","","","","","","","",""
"0","1","5","3","10","6096","","","","","","","","","","","","","",""
"0","1","6","3","10","6531","","","","","","","","","","","","","",""
"0","1","7","3","10","5671","","","","","","","","","","","","","",""
"0","1","8","3","10","7016","","","","","","","","","","","","","",""
"0","1","1","4","10","6904","","","","","","","","","","","","","",""
"0","1","2","4","10","7285","","","","","","","","","","","","","",""
"0","1","3","4","10","5485","","","","","","","","","","","","","",""
"0","1","4","4","10","6991","","","","","","","","","","","","","",""
"0","1","5","4","10","6306","","","","","","","","","","","","","",""
"0","1","6","4","10","6540","","","","","","","","","","","","","",""
"0","1","7","4","10","5716","","","","","","","","","","","","","",""
"0","1","8","4","10","6730","","","","","","","","","","","","","",""
"0","1","1","5","10","6899","","","","","","","","","","","","","",""
"0","1","2","5","10","7130","","","","","","","","","","","","","",""
"0","1","3","5","10","5419","","","","","","","","","","","","","",""
"0","1","4","5","10","7041","","","","","","","","","","","","","",""
